# ucsc	ensembl	genbank	refseq
chr1	1	CM008168.2	NC_037328.1
chrUn_NW_020190748v1	NKLS02000664.1	NKLS02000664.1	NW_020190748.1
chrUn_NW_020190749v1	NKLS02000665.1	NKLS02000665.1	NW_020190749.1
chrUn_NW_020190750v1	NKLS02000666.1	NKLS02000666.1	NW_020190750.1
chrUn_NW_020190751v1	NKLS02000667.1	NKLS02000667.1	NW_020190751.1
chrUn_NW_020190752v1	NKLS02000668.1	NKLS02000668.1	NW_020190752.1
chrUn_NW_020190753v1	NKLS02000669.1	NKLS02000669.1	NW_020190753.1
chrUn_NW_020190754v1	NKLS02000670.1	NKLS02000670.1	NW_020190754.1
chrUn_NW_020190755v1	NKLS02000671.1	NKLS02000671.1	NW_020190755.1
chrUn_NW_020190756v1	NKLS02000672.1	NKLS02000672.1	NW_020190756.1
chrUn_NW_020190757v1	NKLS02000673.1	NKLS02000673.1	NW_020190757.1
chrUn_NW_020190758v1	NKLS02000674.1	NKLS02000674.1	NW_020190758.1
chrUn_NW_020190759v1	NKLS02000675.1	NKLS02000675.1	NW_020190759.1
chrUn_NW_020190760v1	NKLS02000676.1	NKLS02000676.1	NW_020190760.1
chrUn_NW_020190761v1	NKLS02000677.1	NKLS02000677.1	NW_020190761.1
chrUn_NW_020190762v1	NKLS02000678.1	NKLS02000678.1	NW_020190762.1
chrUn_NW_020190763v1	NKLS02000679.1	NKLS02000679.1	NW_020190763.1
chrUn_NW_020190764v1	NKLS02000680.1	NKLS02000680.1	NW_020190764.1
chrUn_NW_020190765v1	NKLS02000681.1	NKLS02000681.1	NW_020190765.1
chrUn_NW_020190766v1	NKLS02000682.1	NKLS02000682.1	NW_020190766.1
chrUn_NW_020190767v1	NKLS02000683.1	NKLS02000683.1	NW_020190767.1
chrUn_NW_020190768v1	NKLS02000684.1	NKLS02000684.1	NW_020190768.1
chrUn_NW_020190769v1	NKLS02000685.1	NKLS02000685.1	NW_020190769.1
chrUn_NW_020190770v1	NKLS02000686.1	NKLS02000686.1	NW_020190770.1
chrUn_NW_020190771v1	NKLS02000687.1	NKLS02000687.1	NW_020190771.1
chrUn_NW_020190772v1	NKLS02000688.1	NKLS02000688.1	NW_020190772.1
chrUn_NW_020190773v1	NKLS02000689.1	NKLS02000689.1	NW_020190773.1
chrUn_NW_020190774v1	NKLS02000690.1	NKLS02000690.1	NW_020190774.1
chrUn_NW_020190775v1	NKLS02000691.1	NKLS02000691.1	NW_020190775.1
chrUn_NW_020190776v1	NKLS02000692.1	NKLS02000692.1	NW_020190776.1
chrUn_NW_020190777v1	NKLS02000693.1	NKLS02000693.1	NW_020190777.1
chrUn_NW_020190778v1	NKLS02000694.1	NKLS02000694.1	NW_020190778.1
chrUn_NW_020190779v1	NKLS02000695.1	NKLS02000695.1	NW_020190779.1
chrUn_NW_020190780v1	NKLS02000696.1	NKLS02000696.1	NW_020190780.1
chrUn_NW_020190781v1	NKLS02000697.1	NKLS02000697.1	NW_020190781.1
chrUn_NW_020190782v1	NKLS02000698.1	NKLS02000698.1	NW_020190782.1
chrUn_NW_020190783v1	NKLS02000699.1	NKLS02000699.1	NW_020190783.1
chrUn_NW_020190784v1	NKLS02000700.1	NKLS02000700.1	NW_020190784.1
chrUn_NW_020190785v1	NKLS02000701.1	NKLS02000701.1	NW_020190785.1
chrUn_NW_020190786v1	NKLS02000702.1	NKLS02000702.1	NW_020190786.1
chrUn_NW_020190787v1	NKLS02000703.1	NKLS02000703.1	NW_020190787.1
chrUn_NW_020190788v1	NKLS02000704.1	NKLS02000704.1	NW_020190788.1
chrUn_NW_020190789v1	NKLS02000705.1	NKLS02000705.1	NW_020190789.1
chrUn_NW_020190790v1	NKLS02000706.1	NKLS02000706.1	NW_020190790.1
chrUn_NW_020190791v1	NKLS02000707.1	NKLS02000707.1	NW_020190791.1
chrUn_NW_020190792v1	NKLS02000708.1	NKLS02000708.1	NW_020190792.1
chrUn_NW_020190793v1	NKLS02000709.1	NKLS02000709.1	NW_020190793.1
chrUn_NW_020190794v1	NKLS02000710.1	NKLS02000710.1	NW_020190794.1
chrUn_NW_020190795v1	NKLS02000711.1	NKLS02000711.1	NW_020190795.1
chrUn_NW_020190796v1	NKLS02000712.1	NKLS02000712.1	NW_020190796.1
chrUn_NW_020190797v1	NKLS02000713.1	NKLS02000713.1	NW_020190797.1
chrUn_NW_020190798v1	NKLS02000714.1	NKLS02000714.1	NW_020190798.1
chrUn_NW_020190799v1	NKLS02000715.1	NKLS02000715.1	NW_020190799.1
chrUn_NW_020190800v1	NKLS02000716.1	NKLS02000716.1	NW_020190800.1
chrUn_NW_020190801v1	NKLS02000717.1	NKLS02000717.1	NW_020190801.1
chrUn_NW_020190802v1	NKLS02000718.1	NKLS02000718.1	NW_020190802.1
chrUn_NW_020190803v1	NKLS02000719.1	NKLS02000719.1	NW_020190803.1
chrUn_NW_020190804v1	NKLS02000720.1	NKLS02000720.1	NW_020190804.1
chrUn_NW_020190805v1	NKLS02000721.1	NKLS02000721.1	NW_020190805.1
chrUn_NW_020190806v1	NKLS02000722.1	NKLS02000722.1	NW_020190806.1
chrUn_NW_020190807v1	NKLS02000723.1	NKLS02000723.1	NW_020190807.1
chrUn_NW_020190808v1	NKLS02000724.1	NKLS02000724.1	NW_020190808.1
chrUn_NW_020190809v1	NKLS02000725.1	NKLS02000725.1	NW_020190809.1
chrUn_NW_020190810v1	NKLS02000726.1	NKLS02000726.1	NW_020190810.1
chrUn_NW_020190811v1	NKLS02000727.1	NKLS02000727.1	NW_020190811.1
chrUn_NW_020190812v1	NKLS02000728.1	NKLS02000728.1	NW_020190812.1
chrUn_NW_020190813v1	NKLS02000729.1	NKLS02000729.1	NW_020190813.1
chrUn_NW_020190814v1	NKLS02000730.1	NKLS02000730.1	NW_020190814.1
chrUn_NW_020190815v1	NKLS02000731.1	NKLS02000731.1	NW_020190815.1
chrUn_NW_020190816v1	NKLS02000732.1	NKLS02000732.1	NW_020190816.1
chrUn_NW_020190817v1	NKLS02000733.1	NKLS02000733.1	NW_020190817.1
chrUn_NW_020190818v1	NKLS02000734.1	NKLS02000734.1	NW_020190818.1
chrUn_NW_020190819v1	NKLS02000735.1	NKLS02000735.1	NW_020190819.1
chrUn_NW_020190820v1	NKLS02000736.1	NKLS02000736.1	NW_020190820.1
chrUn_NW_020190821v1	NKLS02000737.1	NKLS02000737.1	NW_020190821.1
chrUn_NW_020190822v1	NKLS02000738.1	NKLS02000738.1	NW_020190822.1
chrUn_NW_020190823v1	NKLS02000739.1	NKLS02000739.1	NW_020190823.1
chrUn_NW_020190824v1	NKLS02000740.1	NKLS02000740.1	NW_020190824.1
chrUn_NW_020190825v1	NKLS02000741.1	NKLS02000741.1	NW_020190825.1
chrUn_NW_020190826v1	NKLS02000742.1	NKLS02000742.1	NW_020190826.1
chrUn_NW_020190827v1	NKLS02000743.1	NKLS02000743.1	NW_020190827.1
chrUn_NW_020190828v1	NKLS02000744.1	NKLS02000744.1	NW_020190828.1
chrUn_NW_020190829v1	NKLS02000745.1	NKLS02000745.1	NW_020190829.1
chrUn_NW_020190830v1	NKLS02000746.1	NKLS02000746.1	NW_020190830.1
chrUn_NW_020190831v1	NKLS02000747.1	NKLS02000747.1	NW_020190831.1
chrUn_NW_020190832v1	NKLS02000748.1	NKLS02000748.1	NW_020190832.1
chrUn_NW_020190833v1	NKLS02000749.1	NKLS02000749.1	NW_020190833.1
chrUn_NW_020190834v1	NKLS02000750.1	NKLS02000750.1	NW_020190834.1
chrUn_NW_020190835v1	NKLS02000751.1	NKLS02000751.1	NW_020190835.1
chrUn_NW_020190836v1	NKLS02000752.1	NKLS02000752.1	NW_020190836.1
chrUn_NW_020190837v1	NKLS02000753.1	NKLS02000753.1	NW_020190837.1
chrUn_NW_020190838v1	NKLS02000754.1	NKLS02000754.1	NW_020190838.1
chrUn_NW_020190839v1	NKLS02000755.1	NKLS02000755.1	NW_020190839.1
chrUn_NW_020190840v1	NKLS02000756.1	NKLS02000756.1	NW_020190840.1
chrUn_NW_020190841v1	NKLS02000757.1	NKLS02000757.1	NW_020190841.1
chrUn_NW_020190842v1	NKLS02000758.1	NKLS02000758.1	NW_020190842.1
chrUn_NW_020190843v1	NKLS02000759.1	NKLS02000759.1	NW_020190843.1
chrUn_NW_020190844v1	NKLS02000760.1	NKLS02000760.1	NW_020190844.1
chrUn_NW_020190845v1	NKLS02000761.1	NKLS02000761.1	NW_020190845.1
chrUn_NW_020190846v1	NKLS02000762.1	NKLS02000762.1	NW_020190846.1
chrUn_NW_020190847v1	NKLS02000763.1	NKLS02000763.1	NW_020190847.1
chrUn_NW_020190848v1	NKLS02000764.1	NKLS02000764.1	NW_020190848.1
chrUn_NW_020190849v1	NKLS02000765.1	NKLS02000765.1	NW_020190849.1
chrUn_NW_020190850v1	NKLS02000766.1	NKLS02000766.1	NW_020190850.1
chrUn_NW_020190851v1	NKLS02000767.1	NKLS02000767.1	NW_020190851.1
chrUn_NW_020190852v1	NKLS02000768.1	NKLS02000768.1	NW_020190852.1
chrUn_NW_020190853v1	NKLS02000769.1	NKLS02000769.1	NW_020190853.1
chrUn_NW_020190854v1	NKLS02000770.1	NKLS02000770.1	NW_020190854.1
chrUn_NW_020190855v1	NKLS02000771.1	NKLS02000771.1	NW_020190855.1
chrUn_NW_020190856v1	NKLS02000772.1	NKLS02000772.1	NW_020190856.1
chrUn_NW_020190857v1	NKLS02000773.1	NKLS02000773.1	NW_020190857.1
chrUn_NW_020190858v1	NKLS02000774.1	NKLS02000774.1	NW_020190858.1
chrUn_NW_020190859v1	NKLS02000775.1	NKLS02000775.1	NW_020190859.1
chrUn_NW_020190860v1	NKLS02000776.1	NKLS02000776.1	NW_020190860.1
chrUn_NW_020190861v1	NKLS02000777.1	NKLS02000777.1	NW_020190861.1
chrUn_NW_020190862v1	NKLS02000778.1	NKLS02000778.1	NW_020190862.1
chrUn_NW_020190863v1	NKLS02000779.1	NKLS02000779.1	NW_020190863.1
chrUn_NW_020190864v1	NKLS02000780.1	NKLS02000780.1	NW_020190864.1
chrUn_NW_020190865v1	NKLS02000781.1	NKLS02000781.1	NW_020190865.1
chrUn_NW_020190866v1	NKLS02000782.1	NKLS02000782.1	NW_020190866.1
chrUn_NW_020190867v1	NKLS02000783.1	NKLS02000783.1	NW_020190867.1
chrUn_NW_020190868v1	NKLS02000784.1	NKLS02000784.1	NW_020190868.1
chrUn_NW_020190869v1	NKLS02000785.1	NKLS02000785.1	NW_020190869.1
chrUn_NW_020190870v1	NKLS02000786.1	NKLS02000786.1	NW_020190870.1
chrUn_NW_020190871v1	NKLS02000787.1	NKLS02000787.1	NW_020190871.1
chrUn_NW_020190872v1	NKLS02000788.1	NKLS02000788.1	NW_020190872.1
chrUn_NW_020190873v1	NKLS02000789.1	NKLS02000789.1	NW_020190873.1
chrUn_NW_020190874v1	NKLS02000790.1	NKLS02000790.1	NW_020190874.1
chrUn_NW_020190875v1	NKLS02000791.1	NKLS02000791.1	NW_020190875.1
chrUn_NW_020190876v1	NKLS02000792.1	NKLS02000792.1	NW_020190876.1
chrUn_NW_020190877v1	NKLS02000793.1	NKLS02000793.1	NW_020190877.1
chrUn_NW_020190878v1	NKLS02000794.1	NKLS02000794.1	NW_020190878.1
chrUn_NW_020190879v1	NKLS02000795.1	NKLS02000795.1	NW_020190879.1
chrUn_NW_020190880v1	NKLS02000796.1	NKLS02000796.1	NW_020190880.1
chrUn_NW_020190881v1	NKLS02000797.1	NKLS02000797.1	NW_020190881.1
chrUn_NW_020190882v1	NKLS02000798.1	NKLS02000798.1	NW_020190882.1
chrUn_NW_020190883v1	NKLS02000799.1	NKLS02000799.1	NW_020190883.1
chrUn_NW_020190884v1	NKLS02000800.1	NKLS02000800.1	NW_020190884.1
chrUn_NW_020190885v1	NKLS02000801.1	NKLS02000801.1	NW_020190885.1
chrUn_NW_020190886v1	NKLS02000802.1	NKLS02000802.1	NW_020190886.1
chrUn_NW_020190887v1	NKLS02000803.1	NKLS02000803.1	NW_020190887.1
chrUn_NW_020190888v1	NKLS02000804.1	NKLS02000804.1	NW_020190888.1
chrUn_NW_020190889v1	NKLS02000805.1	NKLS02000805.1	NW_020190889.1
chrUn_NW_020190890v1	NKLS02000806.1	NKLS02000806.1	NW_020190890.1
chrUn_NW_020190891v1	NKLS02000807.1	NKLS02000807.1	NW_020190891.1
chrUn_NW_020190892v1	NKLS02000808.1	NKLS02000808.1	NW_020190892.1
chrUn_NW_020190893v1	NKLS02000809.1	NKLS02000809.1	NW_020190893.1
chrUn_NW_020190894v1	NKLS02000810.1	NKLS02000810.1	NW_020190894.1
chrUn_NW_020190895v1	NKLS02000811.1	NKLS02000811.1	NW_020190895.1
chrUn_NW_020190896v1	NKLS02000812.1	NKLS02000812.1	NW_020190896.1
chrUn_NW_020190897v1	NKLS02000813.1	NKLS02000813.1	NW_020190897.1
chrUn_NW_020190898v1	NKLS02000814.1	NKLS02000814.1	NW_020190898.1
chrUn_NW_020190899v1	NKLS02000815.1	NKLS02000815.1	NW_020190899.1
chrUn_NW_020190900v1	NKLS02000816.1	NKLS02000816.1	NW_020190900.1
chrUn_NW_020190901v1	NKLS02000817.1	NKLS02000817.1	NW_020190901.1
chrUn_NW_020190902v1	NKLS02000818.1	NKLS02000818.1	NW_020190902.1
chrUn_NW_020190903v1	NKLS02000819.1	NKLS02000819.1	NW_020190903.1
chrUn_NW_020190904v1	NKLS02000820.1	NKLS02000820.1	NW_020190904.1
chrUn_NW_020190905v1	NKLS02000821.1	NKLS02000821.1	NW_020190905.1
chrUn_NW_020190906v1	NKLS02000822.1	NKLS02000822.1	NW_020190906.1
chrUn_NW_020190907v1	NKLS02000823.1	NKLS02000823.1	NW_020190907.1
chrUn_NW_020190908v1	NKLS02000824.1	NKLS02000824.1	NW_020190908.1
chrUn_NW_020190909v1	NKLS02000825.1	NKLS02000825.1	NW_020190909.1
chrUn_NW_020190910v1	NKLS02000826.1	NKLS02000826.1	NW_020190910.1
chrUn_NW_020190911v1	NKLS02000827.1	NKLS02000827.1	NW_020190911.1
chrUn_NW_020190912v1	NKLS02000828.1	NKLS02000828.1	NW_020190912.1
chrUn_NW_020190913v1	NKLS02000829.1	NKLS02000829.1	NW_020190913.1
chrUn_NW_020190914v1	NKLS02000830.1	NKLS02000830.1	NW_020190914.1
chrUn_NW_020190915v1	NKLS02000831.1	NKLS02000831.1	NW_020190915.1
chrUn_NW_020190916v1	NKLS02000832.1	NKLS02000832.1	NW_020190916.1
chrUn_NW_020190917v1	NKLS02000833.1	NKLS02000833.1	NW_020190917.1
chrUn_NW_020190918v1	NKLS02000834.1	NKLS02000834.1	NW_020190918.1
chrUn_NW_020190919v1	NKLS02000835.1	NKLS02000835.1	NW_020190919.1
chrUn_NW_020190920v1	NKLS02000836.1	NKLS02000836.1	NW_020190920.1
chrUn_NW_020190921v1	NKLS02000837.1	NKLS02000837.1	NW_020190921.1
chrUn_NW_020190922v1	NKLS02000838.1	NKLS02000838.1	NW_020190922.1
chrUn_NW_020190923v1	NKLS02000839.1	NKLS02000839.1	NW_020190923.1
chrUn_NW_020190924v1	NKLS02000840.1	NKLS02000840.1	NW_020190924.1
chrUn_NW_020190925v1	NKLS02000841.1	NKLS02000841.1	NW_020190925.1
chrUn_NW_020190926v1	NKLS02000842.1	NKLS02000842.1	NW_020190926.1
chrUn_NW_020190927v1	NKLS02000843.1	NKLS02000843.1	NW_020190927.1
chrUn_NW_020190928v1	NKLS02000844.1	NKLS02000844.1	NW_020190928.1
chrUn_NW_020190929v1	NKLS02000845.1	NKLS02000845.1	NW_020190929.1
chrUn_NW_020190930v1	NKLS02000846.1	NKLS02000846.1	NW_020190930.1
chrUn_NW_020190931v1	NKLS02000847.1	NKLS02000847.1	NW_020190931.1
chrUn_NW_020190932v1	NKLS02000848.1	NKLS02000848.1	NW_020190932.1
chrUn_NW_020190933v1	NKLS02000849.1	NKLS02000849.1	NW_020190933.1
chrUn_NW_020190934v1	NKLS02000850.1	NKLS02000850.1	NW_020190934.1
chrUn_NW_020190935v1	NKLS02000851.1	NKLS02000851.1	NW_020190935.1
chrUn_NW_020190936v1	NKLS02000852.1	NKLS02000852.1	NW_020190936.1
chrUn_NW_020190937v1	NKLS02000853.1	NKLS02000853.1	NW_020190937.1
chrUn_NW_020190938v1	NKLS02000854.1	NKLS02000854.1	NW_020190938.1
chrUn_NW_020190939v1	NKLS02000855.1	NKLS02000855.1	NW_020190939.1
chrUn_NW_020190940v1	NKLS02000856.1	NKLS02000856.1	NW_020190940.1
chrUn_NW_020190941v1	NKLS02000857.1	NKLS02000857.1	NW_020190941.1
chrUn_NW_020190942v1	NKLS02000858.1	NKLS02000858.1	NW_020190942.1
chrUn_NW_020190943v1	NKLS02000859.1	NKLS02000859.1	NW_020190943.1
chrUn_NW_020190944v1	NKLS02000860.1	NKLS02000860.1	NW_020190944.1
chrUn_NW_020190945v1	NKLS02000861.1	NKLS02000861.1	NW_020190945.1
chrUn_NW_020190946v1	NKLS02000862.1	NKLS02000862.1	NW_020190946.1
chrUn_NW_020190947v1	NKLS02000863.1	NKLS02000863.1	NW_020190947.1
chrUn_NW_020190948v1	NKLS02000864.1	NKLS02000864.1	NW_020190948.1
chrUn_NW_020190949v1	NKLS02000865.1	NKLS02000865.1	NW_020190949.1
chrUn_NW_020190950v1	NKLS02000866.1	NKLS02000866.1	NW_020190950.1
chrUn_NW_020190951v1	NKLS02000867.1	NKLS02000867.1	NW_020190951.1
chrUn_NW_020190952v1	NKLS02000868.1	NKLS02000868.1	NW_020190952.1
chrUn_NW_020190953v1	NKLS02000869.1	NKLS02000869.1	NW_020190953.1
chrUn_NW_020190954v1	NKLS02000870.1	NKLS02000870.1	NW_020190954.1
chrUn_NW_020190955v1	NKLS02000871.1	NKLS02000871.1	NW_020190955.1
chrUn_NW_020190956v1	NKLS02000872.1	NKLS02000872.1	NW_020190956.1
chrUn_NW_020190957v1	NKLS02000873.1	NKLS02000873.1	NW_020190957.1
chrUn_NW_020190958v1	NKLS02000874.1	NKLS02000874.1	NW_020190958.1
chrUn_NW_020190959v1	NKLS02000875.1	NKLS02000875.1	NW_020190959.1
chrUn_NW_020190960v1	NKLS02000876.1	NKLS02000876.1	NW_020190960.1
chrUn_NW_020190961v1	NKLS02000877.1	NKLS02000877.1	NW_020190961.1
chrUn_NW_020190962v1	NKLS02000878.1	NKLS02000878.1	NW_020190962.1
chrUn_NW_020190963v1	NKLS02000879.1	NKLS02000879.1	NW_020190963.1
chrUn_NW_020190964v1	NKLS02000880.1	NKLS02000880.1	NW_020190964.1
chrUn_NW_020190965v1	NKLS02000881.1	NKLS02000881.1	NW_020190965.1
chrUn_NW_020190966v1	NKLS02000882.1	NKLS02000882.1	NW_020190966.1
chrUn_NW_020190967v1	NKLS02000883.1	NKLS02000883.1	NW_020190967.1
chrUn_NW_020190968v1	NKLS02000884.1	NKLS02000884.1	NW_020190968.1
chrUn_NW_020190969v1	NKLS02000885.1	NKLS02000885.1	NW_020190969.1
chrUn_NW_020190970v1	NKLS02000886.1	NKLS02000886.1	NW_020190970.1
chrUn_NW_020190971v1	NKLS02000887.1	NKLS02000887.1	NW_020190971.1
chrUn_NW_020190972v1	NKLS02000888.1	NKLS02000888.1	NW_020190972.1
chrUn_NW_020190973v1	NKLS02000889.1	NKLS02000889.1	NW_020190973.1
chrUn_NW_020190974v1	NKLS02000890.1	NKLS02000890.1	NW_020190974.1
chrUn_NW_020190975v1	NKLS02000891.1	NKLS02000891.1	NW_020190975.1
chrUn_NW_020190976v1	NKLS02000892.1	NKLS02000892.1	NW_020190976.1
chrUn_NW_020190977v1	NKLS02000893.1	NKLS02000893.1	NW_020190977.1
chrUn_NW_020190978v1	NKLS02000894.1	NKLS02000894.1	NW_020190978.1
chrUn_NW_020190979v1	NKLS02000895.1	NKLS02000895.1	NW_020190979.1
chrUn_NW_020190980v1	NKLS02000896.1	NKLS02000896.1	NW_020190980.1
chrUn_NW_020190981v1	NKLS02000897.1	NKLS02000897.1	NW_020190981.1
chrUn_NW_020190982v1	NKLS02000898.1	NKLS02000898.1	NW_020190982.1
chrUn_NW_020190983v1	NKLS02000899.1	NKLS02000899.1	NW_020190983.1
chrUn_NW_020190984v1	NKLS02000900.1	NKLS02000900.1	NW_020190984.1
chrUn_NW_020190985v1	NKLS02000901.1	NKLS02000901.1	NW_020190985.1
chrUn_NW_020190986v1	NKLS02000902.1	NKLS02000902.1	NW_020190986.1
chrUn_NW_020190987v1	NKLS02000903.1	NKLS02000903.1	NW_020190987.1
chrUn_NW_020190988v1	NKLS02000904.1	NKLS02000904.1	NW_020190988.1
chrUn_NW_020190989v1	NKLS02000905.1	NKLS02000905.1	NW_020190989.1
chrUn_NW_020190990v1	NKLS02000906.1	NKLS02000906.1	NW_020190990.1
chrUn_NW_020190991v1	NKLS02000907.1	NKLS02000907.1	NW_020190991.1
chrUn_NW_020190992v1	NKLS02000908.1	NKLS02000908.1	NW_020190992.1
chrUn_NW_020190993v1	NKLS02000909.1	NKLS02000909.1	NW_020190993.1
chrUn_NW_020190994v1	NKLS02000910.1	NKLS02000910.1	NW_020190994.1
chrUn_NW_020190995v1	NKLS02000911.1	NKLS02000911.1	NW_020190995.1
chrUn_NW_020190996v1	NKLS02000912.1	NKLS02000912.1	NW_020190996.1
chrUn_NW_020190997v1	NKLS02000913.1	NKLS02000913.1	NW_020190997.1
chrUn_NW_020190998v1	NKLS02000914.1	NKLS02000914.1	NW_020190998.1
chrUn_NW_020190999v1	NKLS02000915.1	NKLS02000915.1	NW_020190999.1
chrUn_NW_020191000v1	NKLS02000916.1	NKLS02000916.1	NW_020191000.1
chrUn_NW_020191001v1	NKLS02000917.1	NKLS02000917.1	NW_020191001.1
chrUn_NW_020191002v1	NKLS02000918.1	NKLS02000918.1	NW_020191002.1
chrUn_NW_020191003v1	NKLS02000919.1	NKLS02000919.1	NW_020191003.1
chrUn_NW_020191004v1	NKLS02000920.1	NKLS02000920.1	NW_020191004.1
chrUn_NW_020191005v1	NKLS02000921.1	NKLS02000921.1	NW_020191005.1
chrUn_NW_020191006v1	NKLS02000922.1	NKLS02000922.1	NW_020191006.1
chrUn_NW_020191007v1	NKLS02000923.1	NKLS02000923.1	NW_020191007.1
chrUn_NW_020191008v1	NKLS02000924.1	NKLS02000924.1	NW_020191008.1
chrUn_NW_020191009v1	NKLS02000925.1	NKLS02000925.1	NW_020191009.1
chrUn_NW_020191010v1	NKLS02000926.1	NKLS02000926.1	NW_020191010.1
chrUn_NW_020191011v1	NKLS02000927.1	NKLS02000927.1	NW_020191011.1
chrUn_NW_020191012v1	NKLS02000928.1	NKLS02000928.1	NW_020191012.1
chrUn_NW_020191013v1	NKLS02000929.1	NKLS02000929.1	NW_020191013.1
chrUn_NW_020191014v1	NKLS02000930.1	NKLS02000930.1	NW_020191014.1
chrUn_NW_020191015v1	NKLS02000931.1	NKLS02000931.1	NW_020191015.1
chrUn_NW_020191016v1	NKLS02000932.1	NKLS02000932.1	NW_020191016.1
chrUn_NW_020191017v1	NKLS02000933.1	NKLS02000933.1	NW_020191017.1
chrUn_NW_020191018v1	NKLS02000934.1	NKLS02000934.1	NW_020191018.1
chrUn_NW_020191019v1	NKLS02000935.1	NKLS02000935.1	NW_020191019.1
chrUn_NW_020191020v1	NKLS02000936.1	NKLS02000936.1	NW_020191020.1
chrUn_NW_020191021v1	NKLS02000937.1	NKLS02000937.1	NW_020191021.1
chrUn_NW_020191022v1	NKLS02000938.1	NKLS02000938.1	NW_020191022.1
chrUn_NW_020191023v1	NKLS02000939.1	NKLS02000939.1	NW_020191023.1
chrUn_NW_020191024v1	NKLS02000940.1	NKLS02000940.1	NW_020191024.1
chrUn_NW_020191025v1	NKLS02000941.1	NKLS02000941.1	NW_020191025.1
chrUn_NW_020191026v1	NKLS02000942.1	NKLS02000942.1	NW_020191026.1
chrUn_NW_020191027v1	NKLS02000943.1	NKLS02000943.1	NW_020191027.1
chrUn_NW_020191028v1	NKLS02000944.1	NKLS02000944.1	NW_020191028.1
chrUn_NW_020191029v1	NKLS02000945.1	NKLS02000945.1	NW_020191029.1
chrUn_NW_020191030v1	NKLS02000946.1	NKLS02000946.1	NW_020191030.1
chrUn_NW_020191031v1	NKLS02000947.1	NKLS02000947.1	NW_020191031.1
chrUn_NW_020191032v1	NKLS02000948.1	NKLS02000948.1	NW_020191032.1
chrUn_NW_020191033v1	NKLS02000949.1	NKLS02000949.1	NW_020191033.1
chrUn_NW_020191034v1	NKLS02000950.1	NKLS02000950.1	NW_020191034.1
chrUn_NW_020191035v1	NKLS02000951.1	NKLS02000951.1	NW_020191035.1
chrUn_NW_020191036v1	NKLS02000952.1	NKLS02000952.1	NW_020191036.1
chrUn_NW_020191037v1	NKLS02000953.1	NKLS02000953.1	NW_020191037.1
chrUn_NW_020191038v1	NKLS02000954.1	NKLS02000954.1	NW_020191038.1
chrUn_NW_020191039v1	NKLS02000955.1	NKLS02000955.1	NW_020191039.1
chrUn_NW_020191040v1	NKLS02000956.1	NKLS02000956.1	NW_020191040.1
chrUn_NW_020191041v1	NKLS02000957.1	NKLS02000957.1	NW_020191041.1
chrUn_NW_020191042v1	NKLS02000958.1	NKLS02000958.1	NW_020191042.1
chrUn_NW_020191043v1	NKLS02000959.1	NKLS02000959.1	NW_020191043.1
chrUn_NW_020191044v1	NKLS02000960.1	NKLS02000960.1	NW_020191044.1
chrUn_NW_020191045v1	NKLS02000961.1	NKLS02000961.1	NW_020191045.1
chrUn_NW_020191046v1	NKLS02000962.1	NKLS02000962.1	NW_020191046.1
chrUn_NW_020191047v1	NKLS02000963.1	NKLS02000963.1	NW_020191047.1
chrUn_NW_020191048v1	NKLS02000964.1	NKLS02000964.1	NW_020191048.1
chrUn_NW_020191049v1	NKLS02000965.1	NKLS02000965.1	NW_020191049.1
chrUn_NW_020191050v1	NKLS02000966.1	NKLS02000966.1	NW_020191050.1
chrUn_NW_020191051v1	NKLS02000967.1	NKLS02000967.1	NW_020191051.1
chrUn_NW_020191052v1	NKLS02000968.1	NKLS02000968.1	NW_020191052.1
chrUn_NW_020191053v1	NKLS02000969.1	NKLS02000969.1	NW_020191053.1
chrUn_NW_020191054v1	NKLS02000970.1	NKLS02000970.1	NW_020191054.1
chrUn_NW_020191055v1	NKLS02000971.1	NKLS02000971.1	NW_020191055.1
chrUn_NW_020191056v1	NKLS02000972.1	NKLS02000972.1	NW_020191056.1
chrUn_NW_020191057v1	NKLS02000973.1	NKLS02000973.1	NW_020191057.1
chrUn_NW_020191058v1	NKLS02000974.1	NKLS02000974.1	NW_020191058.1
chrUn_NW_020191059v1	NKLS02000975.1	NKLS02000975.1	NW_020191059.1
chrUn_NW_020191060v1	NKLS02000976.1	NKLS02000976.1	NW_020191060.1
chrUn_NW_020191061v1	NKLS02000977.1	NKLS02000977.1	NW_020191061.1
chrUn_NW_020191062v1	NKLS02000978.1	NKLS02000978.1	NW_020191062.1
chrUn_NW_020191063v1	NKLS02000979.1	NKLS02000979.1	NW_020191063.1
chrUn_NW_020191064v1	NKLS02000980.1	NKLS02000980.1	NW_020191064.1
chrUn_NW_020191065v1	NKLS02000981.1	NKLS02000981.1	NW_020191065.1
chrUn_NW_020191066v1	NKLS02000982.1	NKLS02000982.1	NW_020191066.1
chrUn_NW_020191067v1	NKLS02000983.1	NKLS02000983.1	NW_020191067.1
chrUn_NW_020191068v1	NKLS02000984.1	NKLS02000984.1	NW_020191068.1
chrUn_NW_020191069v1	NKLS02000985.1	NKLS02000985.1	NW_020191069.1
chrUn_NW_020191070v1	NKLS02000986.1	NKLS02000986.1	NW_020191070.1
chrUn_NW_020191071v1	NKLS02000987.1	NKLS02000987.1	NW_020191071.1
